age,workclass,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
39,state-gov,13,never-married,adm-clerical,not-in-family,white,male,2174,0,40,united-states,0
50,self-emp-not-inc,13,married-civ-spouse,exec-managerial,husband,white,male,0,0,13,united-states,0
38,private,9,divorced,handlers-cleaners,not-in-family,white,male,0,0,40,united-states,0
53,private,7,married-civ-spouse,handlers-cleaners,husband,black,male,0,0,40,united-states,0
28,private,13,married-civ-spouse,prof-specialty,wife,black,female,0,0,40,cuba,0
37,private,14,married-civ-spouse,exec-managerial,wife,white,female,0,0,40,united-states,0
49,private,5,married-spouse-absent,other-service,not-in-family,black,female,0,0,16,jamaica,0
52,self-emp-not-inc,9,married-civ-spouse,exec-managerial,husband,white,male,0,0,45,united-states,1
31,private,14,never-married,prof-specialty,not-in-family,white,female,14084,0,50,united-states,1
42,private,13,married-civ-spouse,exec-managerial,husband,white,male,5178,0,40,united-states,1
37,private,10,married-civ-spouse,exec-managerial,husband,black,male,0,0,80,united-states,1
30,state-gov,13,married-civ-spouse,prof-specialty,husband,asian-pac-islander,male,0,0,40,india,1
23,private,13,never-married,adm-clerical,own-child,white,female,0,0,30,united-states,0
32,private,12,never-married,sales,not-in-family,black,male,0,0,50,united-states,0
40,private,11,married-civ-spouse,craft-repair,husband,asian-pac-islander,male,0,0,40,unknown,1
34,private,4,married-civ-spouse,transport-moving,husband,amer-indian-eskimo,male,0,0,45,mexico,0
25,self-emp-not-inc,9,never-married,farming-fishing,own-child,white,male,0,0,35,united-states,0
32,private,9,never-married,machine-op-inspct,unmarried,white,male,0,0,40,united-states,0
38,private,7,married-civ-spouse,sales,husband,white,male,0,0,50,united-states,0
43,self-emp-not-inc,14,divorced,exec-managerial,unmarried,white,female,0,0,45,united-states,1
40,private,16,married-civ-spouse,prof-specialty,husband,white,male,0,0,60,united-states,1
54,private,9,separated,other-service,unmarried,black,female,0,0,20,united-states,0
35,federal-gov,5,married-civ-spouse,farming-fishing,husband,black,male,0,0,40,united-states,0
43,private,7,married-civ-spouse,transport-moving,husband,white,male,0,2042,40,united-states,0
59,private,9,divorced,tech-support,unmarried,white,female,0,0,40,united-states,0
56,local-gov,13,married-civ-spouse,tech-support,husband,white,male,0,0,40,united-states,1
19,private,9,never-married,craft-repair,own-child,white,male,0,0,40,united-states,0
54,unknown,10,married-civ-spouse,unknown,husband,asian-pac-islander,male,0,0,60,south,1
39,private,9,divorced,exec-managerial,not-in-family,white,male,0,0,80,united-states,0
49,private,9,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,0
23,local-gov,12,never-married,protective-serv,not-in-family,white,male,0,0,52,united-states,0
20,private,10,never-married,sales,own-child,black,male,0,0,44,united-states,0
45,private,13,divorced,exec-managerial,own-child,white,male,0,1408,40,united-states,0
30,federal-gov,10,married-civ-spouse,adm-clerical,own-child,white,male,0,0,40,united-states,0
22,state-gov,10,married-civ-spouse,other-service,husband,black,male,0,0,15,united-states,0
48,private,7,never-married,machine-op-inspct,unmarried,white,male,0,0,40,puerto-rico,0
21,private,10,never-married,machine-op-inspct,own-child,white,male,0,0,40,united-states,0
19,private,9,married-af-spouse,adm-clerical,wife,white,female,0,0,25,united-states,0
31,private,10,married-civ-spouse,sales,husband,white,male,0,0,38,unknown,1
48,self-emp-not-inc,12,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,0
31,private,5,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,43,united-states,0
53,self-emp-not-inc,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,0
24,private,13,married-civ-spouse,tech-support,husband,white,male,0,0,50,united-states,0
49,private,9,separated,adm-clerical,unmarried,white,female,0,0,40,united-states,0
25,private,9,never-married,handlers-cleaners,not-in-family,white,male,0,0,35,united-states,0
57,federal-gov,13,married-civ-spouse,prof-specialty,husband,black,male,0,0,40,united-states,1
53,private,9,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,38,united-states,0
44,private,14,divorced,exec-managerial,unmarried,white,female,0,0,40,united-states,0
41,state-gov,11,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,0
29,private,11,never-married,prof-specialty,not-in-family,white,male,0,0,43,united-states,0
25,private,10,married-civ-spouse,exec-managerial,wife,other,female,0,0,40,united-states,0
18,private,9,never-married,other-service,own-child,white,female,0,0,30,unknown,0
47,private,15,married-civ-spouse,prof-specialty,wife,white,female,0,1902,60,honduras,1
50,federal-gov,13,divorced,exec-managerial,not-in-family,white,male,0,0,55,united-states,1
47,self-emp-inc,9,divorced,exec-managerial,not-in-family,white,male,0,0,60,united-states,0
43,private,10,married-civ-spouse,tech-support,husband,white,male,0,0,40,united-states,1
46,private,3,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,40,mexico,0
35,private,11,married-civ-spouse,other-service,husband,white,male,0,0,40,puerto-rico,0
41,private,9,married-civ-spouse,adm-clerical,husband,white,male,0,0,48,united-states,0
30,private,9,married-civ-spouse,machine-op-inspct,husband,white,male,5013,0,40,united-states,0
30,private,13,married-civ-spouse,sales,husband,white,male,2407,0,40,united-states,0
32,unknown,4,married-spouse-absent,unknown,not-in-family,white,male,0,0,40,unknown,0
48,private,9,married-civ-spouse,transport-moving,husband,white,male,0,0,40,united-states,0
42,private,16,married-civ-spouse,prof-specialty,husband,white,male,0,0,45,united-states,1
29,private,10,divorced,tech-support,not-in-family,white,male,0,0,58,united-states,0
36,private,9,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,0
28,private,10,divorced,adm-clerical,not-in-family,white,female,0,0,40,united-states,0
53,private,9,married-civ-spouse,adm-clerical,wife,white,female,0,0,40,united-states,1
49,self-emp-inc,10,married-civ-spouse,exec-managerial,husband,white,male,0,0,50,united-states,1
25,unknown,10,never-married,unknown,own-child,white,male,0,0,40,united-states,0
