Income_source,Savings_habits,Borrowing_status,Financial_education,Age,Gender,Marital_status,Educational_level,Geographic_location,NIDA_number,Smartphone_ownership,has_bank_account
farmers and fishers,no,yes,False,47,female,marriedliving together,some primary,rural,no,no,one account
farmers and fishers,yes,no,False,63,female,widowed,no formal education,rural,no,no,one account
piece workcasual labor,yes,yes,True,74,male,widowed,some primary,other urban,yes,no,one account
traders  nonagricultural,yes,yes,False,29,female,divorcedseparated,some primary,other urban,no,no,one account
farmers and fishers,yes,yes,False,53,male,marriedliving together,primary completed,dar es salaam,yes,no,one account
piece workcasual labor,no,no,False,39,female,divorcedseparated,no formal education,other urban,no,no,one account
piece workcasual labor,yes,yes,False,24,male,marriedliving together,primary completed,other urban,no,no,one account
dependents,yes,no,False,55,female,divorcedseparated,primary completed,other urban,no,no,one account
piece workcasual labor,yes,yes,False,45,female,marriedliving together,some primary,other urban,no,no,one account
piece workcasual labor,no,yes,False,56,male,marriedliving together,primary completed,other urban,yes,no,one account
traders  nonagricultural,no,yes,False,51,male,marriedliving together,some primary,other urban,yes,no,one account
farmers and fishers,yes,yes,False,36,female,marriedliving together,primary completed,other urban,no,no,one account
traders  nonagricultural,no,yes,False,30,female,marriedliving together,primary completed,other urban,yes,no,one account
piece workcasual labor,yes,yes,False,38,female,divorcedseparated,no formal education,rural,no,no,one account
farmers and fishers,no,no,False,79,male,divorcedseparated,primary completed,rural,no,no,one account
farmers and fishers,no,yes,False,31,male,divorcedseparated,primary completed,rural,no,no,one account
farmers and fishers,yes,yes,False,30,male,marriedliving together,some primary,rural,yes,no,one account
farmers and fishers,yes,no,False,60,female,divorcedseparated,primary completed,rural,no,no,one account
piece workcasual labor,no,no,False,53,female,divorcedseparated,primary completed,rural,yes,no,one account
piece workcasual labor,no,yes,False,17,male,singlenever married,some primary,rural,no,no,one account
service providers,yes,no,False,65,male,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,no,yes,False,18,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,33,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,yes,True,63,female,widowed,primary completed,rural,no,no,one account
farmers and fishers,yes,no,False,47,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,44,male,marriedliving together,primary completed,rural,yes,no,one account
farmers and fishers,yes,no,False,58,male,marriedliving together,primary completed,rural,yes,no,one account
farmers and fishers,yes,yes,False,26,female,marriedliving together,some secondary,rural,yes,no,one account
traders  agricultural products,yes,no,False,31,male,marriedliving together,some primary,rural,no,no,one account
farmers and fishers,yes,yes,False,62,male,marriedliving together,some primary,rural,no,no,one account
farmers and fishers,yes,no,False,75,male,divorcedseparated,some primary,rural,no,no,one account
welfare,no,yes,True,38,female,marriedliving together,primary completed,rural,no,no,one account
formal sector salaried,yes,yes,False,17,male,singlenever married,primary completed,rural,no,no,one account
farmers and fishers,no,yes,False,36,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,41,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,no,False,35,male,marriedliving together,some primary,rural,no,no,one account
service providers,no,yes,False,28,female,singlenever married,some primary,rural,yes,no,one account
farmers and fishers,no,no,False,62,female,marriedliving together,some primary,rural,no,no,one account
farmers and fishers,yes,no,False,72,female,widowed,no formal education,rural,no,no,one account
farmers and fishers,yes,no,False,38,male,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,yes,no,False,19,female,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,yes,no,False,44,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,no,False,36,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,yes,False,52,female,marriedliving together,primary completed,rural,yes,no,one account
farmers and fishers,no,no,False,39,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,no,True,58,female,marriedliving together,primary completed,rural,yes,no,one account
dependents,yes,no,False,20,male,singlenever married,primary completed,rural,no,no,one account
pension,no,no,True,82,male,marriedliving together,some primary,rural,no,no,one account
piece workcasual labor,no,yes,False,38,male,widowed,some primary,rural,no,no,one account
farmers and fishers,no,yes,False,43,female,divorcedseparated,primary completed,rural,no,no,one account
farmers and fishers,yes,yes,False,52,male,marriedliving together,primary completed,rural,no,no,one account
informal sector salaried,no,no,False,18,male,singlenever married,some primary,rural,yes,no,one account
farmers and fishers,no,no,False,50,male,marriedliving together,some primary,rural,yes,no,one account
farmers and fishers,yes,yes,False,30,female,marriedliving together,primary completed,rural,yes,no,one account
piece workcasual labor,no,no,False,42,female,divorcedseparated,no formal education,rural,no,no,one account
piece workcasual labor,yes,yes,False,50,female,divorcedseparated,no formal education,rural,yes,no,one account
farmers and fishers,yes,no,False,21,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,32,male,marriedliving together,primary completed,rural,no,no,one account
