Location,Year,pH,Nitrogen
lake3,2020,7.265470841173363,3.2120814941425464
lake3,2022,7.035864256276785,3.2120814941425464
lake1,2020,7.464235138718766,3.2120814941425464
lake3,2022,7.055829864421082,3.914039868988648
lake4,2021,7.392931335658608,3.2120814941425464
lake2,2021,7.055829864421082,2.514250465683167
lake4,2022,7.024665729771838,3.834075274383951
lake5,2021,7.137943941265687,3.309420876997552
lake4,2022,7.3368473277491875,2.7404646525840706
lake4,2022,6.517518967782788,2.867883021909821
lake4,2020,6.927869420912837,3.298868656003068
lake2,2022,6.729859647326284,3.4380912544191102
lake1,2022,7.211337207733831,2.937381337237026
lake3,2022,7.388177502779241,3.2120814941425464
lake3,2020,6.85779083810278,2.737204085954805
lake4,2021,7.4619537099822,3.676273912920428
lake2,2022,7.055829864421082,3.619453540591224
lake3,2021,7.055829864421082,3.064191557749348
lake1,2022,7.335059471435667,3.739657723030414
lake1,2020,7.115330865936645,2.937668847703892
lake4,2021,6.965043713135887,3.640593824355317
lake3,2021,6.837239863614855,2.7024120524417623
lake4,2020,7.055829864421082,3.8510233542169177
lake4,2022,6.951127598376555,3.49509019236679
lake5,2022,7.194639427669261,3.2120814941425464
lake1,2022,6.765772957075604,2.5433854074234548
lake4,2021,6.902185135067422,3.8863119305752143
lake2,2021,6.574971292017282,2.755631589163666
lake3,2020,7.126292816040011,3.169290588863495
lake2,2022,7.055829864421082,2.586861304197976
lake3,2022,7.408673825448153,2.9586643977802085
lake1,2020,7.006641818125673,3.763397552079059
lake1,2021,6.753939437154834,2.66862661257502
lake4,2021,7.0036569867332,3.2120814941425464
lake1,2022,7.055829864421082,3.27721954992426
lake2,2022,7.055829864421082,2.6793013093477573
lake3,2020,7.499938422733368,3.4471095169907597
lake3,2022,7.229404454192084,2.843537564962697
lake3,2021,7.055829864421082,3.678716914809931
lake2,2021,7.314076249614847,3.2120814941425464
lake1,2021,7.055829864421082,3.875037223314939
lake3,2021,6.765055511990973,3.480762205576447
lake5,2020,6.602111731003568,3.2120814941425464
lake2,2021,6.93639418652931,3.5577789969030325
lake1,2021,7.436273350675628,2.69553326348329
lake4,2020,6.5685792180209175,3.157997926092624
lake5,2021,7.311775011601775,2.8710768296507583
lake2,2021,7.087865585142589,3.4028476759277706
lake5,2022,7.0998574600129,3.2120814941425464
lake5,2021,6.6888223222600764,2.8661269065221755
